part_number,part_name,category,description,compatibility,price_usd
HHK70-14070,Engine Oil Filter,Engine,Engine oil filter element,M7-131 / M7-152 / M7-172,20.00
HHK32-16770,Fuel Filter Primary,Engine,Primary fuel filter / water separator,M7 Series (Kubota V3800),26.00
HHK32-16771,Fuel Filter Secondary,Engine,Secondary fuel filter element,M7 Series (Kubota V3800),30.00
TC422-93230,Air Filter Outer,Engine,Engine air filter - outer element,M7 Series,65.00
TC422-93231,Air Filter Inner,Engine,Engine air filter - inner safety element,M7 Series,42.00
1J500-78090,DEF Filter,Engine,Diesel exhaust fluid filter,M7 Series (Tier 4 Final),35.00
1J770-17010,Turbocharger,Engine,Turbocharger assembly,M7-172,2400.00
1C010-73030,Water Pump,Engine,Engine coolant water pump,M7 Series,380.00
19434-73014,Thermostat,Engine,Engine thermostat assembly,M7 Series,55.00
K7711-97010,Serpentine Belt,Engine,Engine accessory drive belt,M7 Series,75.00
3C091-82200,KVT Transmission,Transmission,K-VT CVT transmission - reman,M7 Series KVT,7200.00
3C081-37710,Powershift Transmission,Transmission,24F/24R powershift transmission - reman,M7 Series Premium,6500.00
HHK20-37150,Transmission Filter,Transmission,Transmission oil filter element,M7 Series,38.00
3C091-82400,Transmission Oil Cooler,Transmission,Transmission oil cooler assembly,M7 Series,720.00
3C081-25110,PTO Clutch Pack,Transmission,PTO clutch pack assembly - 540/1000 RPM,M7 Series,1100.00
3C091-93100,Front Axle Assembly,Axles/Steering,MFWD front axle assembly - bevel gear,M7 Series,3800.00
3C081-63530,Steering Valve,Axles/Steering,Steering control valve - orbital,M7 Series,620.00
3C051-62230,Tie Rod Assembly,Axles/Steering,Outer tie rod end - MFWD,M7 Series,120.00
TC050-36440,Hydraulic Pump,Hydraulics,Main hydraulic pump - gear type,M7 Series,1850.00
HHK20-37950,Hydraulic Filter,Hydraulics,Hydraulic system return filter,M7 Series,35.00
3C081-82130,SCV Coupler,Hydraulics,Selective control valve quick coupler,M7 Series,78.00
3C091-84100,Hitch Cylinder,Hydraulics,3-point hitch lift cylinder,M7 Series,520.00
3C091-75100,K-Monitor Display,Electrical,K-Monitor Pro color display,M7 Series,2200.00
3C091-75200,GPS Receiver,Electrical,Kubota GNSS receiver module,M7 Series,3500.00
6A100-83190,Cab Air Filter,Cab,Cab recirculation air filter,M7 Series,30.00
6A100-83191,Cab Fresh Air Filter,Cab,Cab fresh air intake filter,M7 Series,36.00
3C091-85100,Seat Assembly,Cab,Premium air-ride seat,M7 Series,1500.00
K7571-54430,LED Work Light Kit,Electrical,LED work light kit - front and rear,M7 Series,350.00
1C010-64012,Alternator,Electrical,120 amp alternator assembly,M7 Series,480.00
3C091-86100,Front Weight Bracket,Ballast,Front weight mounting bracket,M7 Series,280.00
3C091-86200,Rear Wheel Weight,Ballast,Rear wheel weight - 500 lb,M7 Series,320.00
3C091-75300,Auto Steer Kit,Guidance,Kubota auto steering system,M7 Series,2800.00
